country;geoname_id;latitude;longitude;north;east;south;west;en;cs;ru
SV;3583361;13.68935;-89.18718;13.783466472793975;-89.0902813362278;13.595243348751122;-89.2840854240261;San Salvador;San Salvador;Сан-Сальвадор
GD;3579925;12.05644;-61.74849;12.067459271078908;-61.73722173325194;12.045429420712091;-61.75974939711905;St. George's;Saint George's;Сент-Джоржес
GT;3598132;14.64072;-90.51327;14.770199171625277;-90.37936879615545;14.511250798181278;-90.64716623802424;Guatemala City;Město Guatemala;Гватемала
HT;3718426;18.53917;-72.335;18.683345857616693;-72.18280044608731;18.394987542383305;-72.48719955391267;Port-au-Prince;Port-au-Prince;Порт-о-Пренс
HN;3600949;14.0818;-87.20681;14.20153997914878;-87.0833000427882;13.962065608993168;-87.33032376702626;Tegucigalpa;Tegucigalpa;Тегусигальпа
JM;3489854;17.99702;-76.79358;18.122689385688506;-76.66134577646973;17.871349485052296;-76.92580479726068;Kingston;Kingston;Кингстон
MX;3530597;19.42847;-99.12766;19.883630141311155;-98.64365263741942;18.973314712760843;-99.61167649466057;Mexico City;Ciudad de México;Мехико
NI;3617763;12.13282;-86.2504;12.26079840477224;-86.11943141541526;12.004834674011219;-86.38136967101052;Managua;Managua;Манагуа
PA;3703443;8.9936;-79.51973;9.076517808777089;-79.4357608583804;8.910683119782972;-79.60369837013522;Panama City;Panama;Панама
KM;921772;-11.70216;43.25506;-11.675561077339951;43.28222775372753;-11.728768220894567;43.227896452815436;Moroni;Moroni;Морони
LC;3576812;13.9957;-61.00614;14.013691933151454;-60.98759688133412;13.977717338145746;-61.02467499976948;Castries;Castries;Кастри
VC;3577887;13.15872;-61.22475;13.178832510315745;-61.20409232368736;13.138611690367851;-61.24540108451576;Kingstown;Kingstown;Кингстаун
TT;3573890;10.66668;-61.51889;10.695120414531075;-61.48994680162236;10.638239585468924;-61.54783319837764;Port of Spain;Port of Spain;Порт-оф-Спейн
US;4140963;38.89511;-77.03637;38.99576435169747;-76.90685791229592;38.79445924830254;-77.16587368770408;Washington, D.C.;Washington, D.C.;Вашингтон
AU;2172517;-35.28346;149.12807;-35.20480017280504;149.22434515171665;-35.36212477249116;149.03180414027537;Canberra;Canberra;Канберра
FM;2081986;6.92477;158.16109;6.942757983441224;158.1792095855751;6.906783388435516;158.1429692550629;Palikir;Palikir;Паликир
FJ;2198148;-18.14161;178.44149;-18.105635898436546;178.4793350244424;-18.177585088447962;178.40363769284275;Suva;Suva;Сува
